SaleKey,DateKey,ProductKey,BranchKey,EmployeeKey,Quantity,UnitPrice,DiscountRate,TotalAmount,CostAmount,ProfitAmount,OrderStatus,PaymentMethod,Date,UnitCost
1,335,578,3,44,12,478.59,0.0,5743.08,4656,1087.08,مكتمل,مدى,2024-11-30,388
2,252,748,1,5,7,566.72,0.05,3768.6879999999996,3143,625.6879999999996,مكتمل,مدى,2024-09-08,449
3,473,162,2,26,1,414.4,0.0,414.4,294,120.39999999999998,مكتمل,نقدي,2025-04-17,294
4,187,675,2,89,2,223.29,0.05,424.251,336,88.25099999999998,مكتمل,نقدي,2024-07-05,168
6,424,284,1,123,9,23.67,0.0,213.03000000000003,171,42.03000000000003,مكتمل,بطاقة,2025-02-27,19
7,167,593,1,81,2,452.36,0.15,769.0120000000001,722,47.01200000000006,مكتمل,بطاقة,2024-06-15,361
8,292,726,1,5,2,501.98,0.2,803.1680000000001,712,91.16800000000012,مكتمل,بطاقة,2024-10-18,356
9,428,553,5,22,2,291.04,0.0,582.08,438,144.08000000000004,مكتمل,بطاقة,2025-03-03,219
10,198,285,5,75,1,87.11,0.0,87.11,75,12.11,مكتمل,أبل باي,2024-07-16,75
11,280,391,4,116,6,500.67,0.05,2853.819,2322,531.819,مكتمل,نقدي,2024-10-06,387
12,352,49,4,36,3,11.46,0.15,29.223000000000003,24,5.2230000000000025,مكتمل,بطاقة,2024-12-17,8
13,348,674,4,90,2,382.41,0.0,764.82,588,176.82000000000005,مكتمل,نقدي,2024-12-13,294
14,309,496,2,64,8,238.35,0.15,1620.78,1432,188.77999999999997,مكتمل,أبل باي,2024-11-04,179
15,1,177,3,44,3,284.75,0.15,726.1125,738,-11.887500000000045,مكتمل,تمارا,2024-01-01,246
16,27,111,4,95,10,329.3,0.05,3128.35,2570,558.3499999999999,مكتمل,مدى,2024-01-27,257
17,221,411,1,118,4,310.52,0.1,1117.872,996,121.87200000000007,مكتمل,مدى,2024-08-08,249
18,463,138,4,95,10,174.44,0.0,1744.4,1240,504.4000000000001,مكتمل,بطاقة,2025-04-07,124
19,13,709,1,63,1,236.06,0.15,200.651,197,3.6510000000000105,مكتمل,مدى,2024-01-13,197
20,403,783,3,44,6,632.82,0.1,3417.228,2700,717.2280000000001,مكتمل,مدى,2025-02-06,450
21,105,716,1,112,5,262.31,0.05,1245.9724999999999,1115,130.97249999999985,مكتمل,مدى,2024-04-14,223
22,235,604,2,89,1,483.16,0.0,483.16,342,141.16000000000003,مكتمل,نقدي,2024-08-22,342
23,6,537,4,54,2,143.7,0.2,229.92,220,9.919999999999987,مكتمل,بطاقة,2024-01-06,110
24,234,54,5,91,2,594.79,0.1,1070.622,938,132.62200000000007,مكتمل,بطاقة,2024-08-21,469
25,173,499,1,81,7,272.49,0.05,1812.0584999999999,1582,230.05849999999987,مكتمل,بطاقة,2024-06-21,226
26,167,539,2,103,1,571.19,0.0,571.19,419,152.19000000000005,مكتمل,نقدي,2024-06-15,419
27,245,98,2,111,10,418.58,0.1,3767.2200000000003,3150,617.2200000000003,مكتمل,أبل باي,2024-09-01,315
