SaleKey,DateKey,ProductKey,BranchKey,EmployeeKey,Quantity,UnitPrice,DiscountRate,TotalAmount,CostAmount,ProfitAmount,OrderStatus,PaymentMethod
1,335.0,578,3,44,12,478.59,0.0,5743.08,4656,1087.08,مكتمل,مدى
2,252.0,748,1,5,7,566.72,0.05,3768.66,3143,625.66,مكتمل,مدى
3,473.0,162,2,26,1,414.4,0.0,414.4,294,120.4,مكتمل,نقدي
4,187.0,675,2,89,2,223.29,0.05,424.26,336,88.26,مكتمل,نقدي
5,,125,3,72,2,194.78,0.2,311.64,304,7.64,مكتمل,نقدي
6,424.0,284,1,123,9,23.67,0.0,213.03,171,42.03,مكتمل,بطاقة
7,167.0,593,1,81,2,452.36,0.15,769.02,722,47.02,مكتمل,بطاقة
8,292.0,726,1,5,2,501.98,0.2,803.16,712,91.16,مكتمل,بطاقة
9,428.0,553,5,22,2,291.04,0.0,582.08,438,144.08,مكتمل,بطاقة
10,198.0,285,5,75,1,87.11,0.0,87.11,75,12.11,مكتمل,أبل باي
11,280.0,391,4,116,6,500.67,0.05,2853.84,2322,531.84,مكتمل,نقدي
12,352.0,49,4,36,3,11.46,0.15,29.22,24,5.22,مكتمل,بطاقة
13,348.0,674,4,90,2,382.41,0.0,764.82,588,176.82,مكتمل,نقدي
14,309.0,496,2,64,8,238.35,0.15,1620.8,1432,188.8,مكتمل,أبل باي
15,1.0,177,3,44,3,284.75,0.15,726.12,738,-11.88,مكتمل,تمارا
16,27.0,111,4,95,10,329.3,0.05,3128.3,2570,558.3,مكتمل,مدى
17,221.0,411,1,118,4,310.52,0.1,1117.88,996,121.88,مكتمل,مدى
18,463.0,138,4,95,10,174.44,0.0,1744.4,1240,504.4,مكتمل,بطاقة
19,13.0,709,1,63,1,236.06,0.15,200.65,197,3.65,مكتمل,مدى
20,403.0,783,3,44,6,632.82,0.1,3417.24,2700,717.24,مكتمل,مدى
21,105.0,716,1,112,5,262.31,0.05,1245.95,1115,130.95,مكتمل,مدى
22,235.0,604,2,89,1,483.16,0.0,483.16,342,141.16,مكتمل,نقدي
23,6.0,537,4,54,2,143.7,0.2,229.92,220,9.92,مكتمل,بطاقة
24,234.0,54,5,91,2,594.79,0.1,1070.62,938,132.62,مكتمل,بطاقة
25,173.0,499,1,81,7,272.49,0.05,1812.09,1582,230.09,مكتمل,بطاقة
26,167.0,539,2,103,1,571.19,0.0,571.19,419,152.19,مكتمل,نقدي
27,245.0,98,2,111,10,418.58,0.1,3767.2,3150,617.2,مكتمل,أبل باي
28,17.0,709,3,72,6,236.06,0.0,1416.36,1182,234.36,مكتمل,أبل باي
29,536.0,359,4,98,7,193.47,0.1,1218.84,1043,175.84,مكتمل,مدى
30,215.0,121,3,44,2,92.23,0.0,184.46,128,56.46,مكتمل,أبل باي
31,431.0,315,5,91,12,194.57,0.0,2334.84,1740,594.84,مكتمل,نقدي
32,398.0,149,1,123,7,455.54,0.0,3188.78,2709,479.78,مكتمل,نقدي
33,433.0,425,1,19,11,341.45,0.2,3004.76,2926,78.76,مكتمل,مدى
34,444.0,449,1,4,14,228.29,0.0,3196.06,2352,844.06,مكتمل,بطاقة
35,444.0,546,3,44,11,584.4,0.0,6428.4,4554,1874.4,مكتمل,نقدي
36,121.0,633,5,75,11,37.32,0.2,328.46,341,-12.54,مكتمل,نقدي
37,74.0,790,3,44,2,231.43,0.05,439.72,402,37.72,مكتمل,مدى
38,30.0,416,2,67,10,473.05,0.15,4020.9,3320,700.9,مكتمل,بطاقة
39,358.0,319,5,75,3,648.21,0.0,1944.63,1473,471.63,مكتمل,مدى
40,277.0,324,3,72,9,165.18,0.15,1263.6,1026,237.6,مكتمل,بطاقة
41,122.0,745,3,72,3,493.93,0.15,1259.52,1155,104.52,مكتمل,تمارا
42,108.0,752,2,97,7,277.31,0.15,1649.97,1666,-16.03,مكتمل,بطاقة
43,206.0,618,2,97,4,69.94,0.15,237.8,196,41.8,مكتمل,أبل باي
44,286.0,457,1,118,1,50.0,0.1,45.0,305,-260.0,مكتمل,بطاقة
45,453.0,60,1,19,7,392.78,0.2,2199.54,2366,-166.46,مكتمل,تمارا
46,195.0,155,3,44,3,361.46,0.0,1084.38,909,175.38,مكتمل,نقدي
47,181.0,109,4,98,6,563.97,0.2,2707.08,2562,145.08,مكتمل,مدى
48,200.0,553,2,111,3,291.04,0.15,742.14,657,85.14,مكتمل,تمارا
49,234.0,743,2,65,6,587.16,0.0,3522.96,2538,984.96,مكتمل,بطاقة
50,72.0,481,3,44,8,186.87,0.2,1196.0,1072,124.0,مكتمل,مدى
51,444.0,784,1,19,7,419.68,0.05,2790.9,2072,718.9,مكتمل,مدى
52,311.0,186,1,112,10,79.44,0.0,794.4,550,244.4,مكتمل,بطاقة
53,443.0,138,3,44,14,174.44,0.2,1953.7,1736,217.7,مكتمل,بطاقة
54,169.0,164,3,44,2,162.52,0.0,325.04,244,81.04,مكتمل,أبل باي
55,60.0,716,3,72,8,262.31,0.2,1678.8,1784,-105.2,مكتمل,بطاقة
56,253.0,344,4,98,4,517.85,0.0,2071.4,1788,283.4,مكتمل,أبل باي
57,375.0,587,1,93,7,507.95,0.0,3555.65,2499,1056.65,مكتمل,أبل باي
58,135.0,359,3,72,5,193.47,0.0,967.35,745,222.35,مكتمل,مدى
59,380.0,607,2,126,1,348.77,0.0,348.77,260,88.77,مكتمل,بطاقة
60,536.0,666,5,91,2,475.69,0.0,951.38,750,201.38,مكتمل,بطاقة
61,546.0,121,5,75,3,92.23,0.1,249.03,192,57.03,مكتمل,نقدي
62,448.0,406,2,84,12,143.44,0.05,1635.24,1236,399.24,مكتمل,بطاقة
63,75.0,347,3,44,2,50.0,0.0,100.0,318,-218.0,مسترجع,أبل باي
64,463.0,679,2,9,5,595.75,0.15,2531.95,2450,81.95,مكتمل,بطاقة
