DateKey,Date,Year,Quarter,Month,Day,MonthNameAr,DayNameAr,IsWeekend,IsHoliday
1,2024-01-01,2024,1,1,1,يناير,الإثنين,False,False
2,2024-01-02,2024,1,1,2,يناير,الثلاثاء,False,False
3,2024-01-03,2024,1,1,3,يناير,الأربعاء,False,False
4,2024-01-04,2024,1,1,4,يناير,الخميس,False,False
5,2024-01-05,2024,1,1,5,يناير,الجمعة,True,False
6,2024-01-06,2024,1,1,6,يناير,السبت,True,False
7,2024-01-07,2024,1,1,7,يناير,الأحد,False,False
8,2024-01-08,2024,1,1,8,يناير,الإثنين,False,False
9,2024-01-09,2024,1,1,9,يناير,الثلاثاء,False,False
10,2024-01-10,2024,1,1,10,يناير,الأربعاء,False,False
11,2024-01-11,2024,1,1,11,يناير,الخميس,False,False
12,2024-01-12,2024,1,1,12,يناير,الجمعة,True,False
13,2024-01-13,2024,1,1,13,يناير,السبت,True,False
14,2024-01-14,2024,1,1,14,يناير,الأحد,False,False
15,2024-01-15,2024,1,1,15,يناير,الإثنين,False,False
16,2024-01-16,2024,1,1,16,يناير,الثلاثاء,False,False
17,2024-01-17,2024,1,1,17,يناير,الأربعاء,False,False
18,2024-01-18,2024,1,1,18,يناير,الخميس,False,False
19,2024-01-19,2024,1,1,19,يناير,الجمعة,True,False
20,2024-01-20,2024,1,1,20,يناير,السبت,True,False
21,2024-01-21,2024,1,1,21,يناير,الأحد,False,False
22,2024-01-22,2024,1,1,22,يناير,الإثنين,False,False
23,2024-01-23,2024,1,1,23,يناير,الثلاثاء,False,False
24,2024-01-24,2024,1,1,24,يناير,الأربعاء,False,False
25,2024-01-25,2024,1,1,25,يناير,الخميس,False,False
26,2024-01-26,2024,1,1,26,يناير,الجمعة,True,False
27,2024-01-27,2024,1,1,27,يناير,السبت,True,False
28,2024-01-28,2024,1,1,28,يناير,الأحد,False,False
29,2024-01-29,2024,1,1,29,يناير,الإثنين,False,False
30,2024-01-30,2024,1,1,30,يناير,الثلاثاء,False,False
31,2024-01-31,2024,1,1,31,يناير,الأربعاء,False,False
32,2024-02-01,2024,1,2,1,فبراير,الخميس,False,False
