ProductKey,ProductName,Category,SubCategory,UnitCost,UnitPrice,Supplier,StockQuantity,ReorderPoint,IsActive
1,Recusandae هواتف ذكية,إلكترونيات,هواتف ذكية,292,336.65,"آل بن ظافر, آل عايض and أبو داوود",38,39,True
2,Ad هواتف ذكية,إلكترونيات,هواتف ذكية,432,544.65,بن لادن and Sons,282,38,True
3,Nam هواتف ذكية,إلكترونيات,هواتف ذكية,26,32.3,أبا الخيل and Sons,460,25,True
4,Recusandae هواتف ذكية,إلكترونيات,هواتف ذكية,112,151.72,بقشان Group,341,33,True
5,Veritatis هواتف ذكية,إلكترونيات,هواتف ذكية,291,411.83,"الجابر, الحكير and آل سعود",208,99,True
6,Voluptas هواتف ذكية,إلكترونيات,هواتف ذكية,478,683.04,"آل حسين, المشاولة and الجفالي",442,40,True
7,Asperiores هواتف ذكية,إلكترونيات,هواتف ذكية,420,505.31,الراشد and Sons,211,23,True
8,Autem هواتف ذكية,إلكترونيات,هواتف ذكية,478,597.34,حجار-حنبولي,476,72,True
9,Saepe هواتف ذكية,إلكترونيات,هواتف ذكية,447,612.62,أبو داوود-آل العسكري,127,54,True
10,Tempora هواتف ذكية,إلكترونيات,هواتف ذكية,364,430.4,الشايع-العليان,446,24,True
11,Eum هواتف ذكية,إلكترونيات,هواتف ذكية,118,142.76,المهيدب-الحكير,470,78,True
12,Non هواتف ذكية,إلكترونيات,هواتف ذكية,425,590.16,مهنا PLC,116,48,False
13,Ut هواتف ذكية,إلكترونيات,هواتف ذكية,103,130.76,آل حسين-حنبولي,142,28,True
14,Impedit هواتف ذكية,إلكترونيات,هواتف ذكية,147,184.54,آل جعفر Inc,260,71,True
15,Fugiat هواتف ذكية,إلكترونيات,هواتف ذكية,436,571.54,الحكير Ltd,480,23,True
16,Tempora هواتف ذكية,إلكترونيات,هواتف ذكية,138,166.09,الحكير LLC,492,53,False
17,Magni هواتف ذكية,إلكترونيات,هواتف ذكية,310,396.91,آل حسين Inc,373,60,True
18,Inventore هواتف ذكية,إلكترونيات,هواتف ذكية,266,315.13,الحجار-آل معيض,460,93,True
19,Corporis هواتف ذكية,إلكترونيات,هواتف ذكية,27,36.79,آل حسين and Sons,0,86,True
20,Non هواتف ذكية,إلكترونيات,هواتف ذكية,280,379.7,المهيدب-المهيدب,481,45,True
21,Quam هواتف ذكية,إلكترونيات,هواتف ذكية,40,57.39,آل خضير-آل العسكري,471,62,True
22,Commodi هواتف ذكية,إلكترونيات,هواتف ذكية,344,483.12,المهيدب-آل حسين,368,58,True
23,Saepe هواتف ذكية,إلكترونيات,هواتف ذكية,346,440.29,"أبو داوود, الحكير and آل الشيخ",206,57,True
24,Illum هواتف ذكية,إلكترونيات,هواتف ذكية,103,131.44,الحكير-آل حسين,481,68,True
25,Ratione هواتف ذكية,إلكترونيات,هواتف ذكية,467,561.43,بقشان PLC,291,58,True
26,Dolores هواتف ذكية,إلكترونيات,هواتف ذكية,431,495.7,"الحكير, آل صفوان and آل سعود",146,46,True
27,Fugiat هواتف ذكية,إلكترونيات,هواتف ذكية,301,400.93,آل معيض-العليان,164,79,True
28,Dignissimos هواتف ذكية,إلكترونيات,هواتف ذكية,350,424.94,آل صفوان Group,242,41,True
29,Harum هواتف ذكية,إلكترونيات,هواتف ذكية,150,195.7,أبا الخيل-العقيل,324,99,True
30,Autem هواتف ذكية,إلكترونيات,هواتف ذكية,424,608.69,آل محمد بن علي بن جماز-آل قصير,120,59,True
31,Sunt هواتف ذكية,إلكترونيات,هواتف ذكية,106,126.59,حجار-حنبولي,23,51,True
32,Eius هواتف ذكية,إلكترونيات,هواتف ذكية,317,445.36,آل خضير-آل سعود,37,78,True
33,Incidunt لابتوبات,إلكترونيات,لابتوبات,327,432.52,الخرافي LLC,367,69,True
34,Sit لابتوبات,إلكترونيات,لابتوبات,129,154.06,الجابر-الشايع,352,20,True
35,Iusto لابتوبات,إلكترونيات,لابتوبات,445,614.55,فصيل-حجار,54,74,True
36,Deleniti لابتوبات,إلكترونيات,لابتوبات,416,597.95,أبو داوود-حجار,265,79,True
37,Voluptate لابتوبات,إلكترونيات,لابتوبات,132,188.13,العقيل LLC,62,78,True
38,Dolorum لابتوبات,إلكترونيات,لابتوبات,242,326.77,أبو داوود-آل مقطة,286,96,True
39,Voluptate لابتوبات,إلكترونيات,لابتوبات,391,554.21,"العليان, بقشان and آل قصير",313,84,True
40,Itaque لابتوبات,إلكترونيات,لابتوبات,469,616.44,آل معيض-الخرافي,459,40,True
41,Maiores لابتوبات,إلكترونيات,لابتوبات,248,318.69,بقشان and Sons,384,51,True
42,Rerum لابتوبات,إلكترونيات,لابتوبات,146,201.44,"آل عايض, مهنا and المهيدب",266,82,True
43,Alias لابتوبات,إلكترونيات,لابتوبات,145,185.88,"العجلان, آل علي and الشايع",365,56,True
44,Illum لابتوبات,إلكترونيات,لابتوبات,176,219.28,"آل جعفر, الدباغ and مهنا",276,30,True
45,Praesentium لابتوبات,إلكترونيات,لابتوبات,123,155.58,شربتلي LLC,78,47,True
46,Excepturi لابتوبات,إلكترونيات,لابتوبات,213,266.09,كانو-آل سلطان,238,73,True
47,Nisi لابتوبات,إلكترونيات,لابتوبات,431,549.97,آل جعفر-الشايع,463,94,True
48,Sapiente لابتوبات,إلكترونيات,لابتوبات,15,21.11,بن لادن-الخرافي,391,93,True
49,Quibusdam لابتوبات,إلكترونيات,لابتوبات,8,11.46,"الدباغ, المهنا and آل بن ظافر",152,69,True
50,Magni لابتوبات,إلكترونيات,لابتوبات,493,690.55,"المهنا, حجار and شربتلي",275,89,True
51,Blanditiis لابتوبات,إلكترونيات,لابتوبات,464,564.3,آل قصير Ltd,112,54,True
52,Vel لابتوبات,إلكترونيات,لابتوبات,19,24.07,آل صفوان-فصيل,342,71,True
